,score,text
234,10,강동원 우산장면이 넘 유명하지만 영화를 못봐서어제 봤는데 옛날영화 특유의 느낌도 좋았고뭔가 옛감정을 느끼면서 본 영화네요늦은 나이에 눈물도 나고 태성이도 안타깝고여주의 좀 불쌍한듯한 연기도 좋았고왜 강동원의 우산장면이 유명한지 알았네요풋풋한 청춘영화네요 																									
235,9,거칠지만 따뜻한.. ㅎㅎ 																									
236,10,
237,10,
238,10,
239,2,초반 몰입도 최고. 배우 연기력 최고. 하지만 이야기를 이끌어가려고 당당했던 주인공의 판단력을 미취학 아동 수준으로 끌어내리는 순간부터 영화가 너무 답답해짐. 그냥 싸이코빼고 지능이 다 낮아짐. 																									
240,5,칼맞은 놈이 정상적으로 싸우는건 주인공의 특혜인가 ? 																									
241,10,개잼ㅋㅋ간만에 영화보면서 아무 생각 없이 실컷 웃고 나왔네뻔한 장면 많긴 한데 그것조차 웃기고 잼씀ㅋㅋ 																									
242,1,한마디로 일없습네다ㅋ 																									
243,10,"꼭 보세요. 말이 필요 없습니다 꼭 보세요.영화 보는 내내 가슴 뭉클해져서 소름 돋고 ""사랑""과 ""희생""에 대해서생각할 수 있게 되는 거 같아요.그리고 노래들이 너무너무 좋습니다. 																									"
244,1,dvd 커버의 프랑스 흥행작이라는 광고에 속지 말았어야 했는데 																									
245,9,송강호님 연기 진짜 최고에요 가족들을위해서 산집에서 혼자 가족들동영상보면서 우는거 진짜 마음이 너무아파서 펑펑울었어요 가족들이 다진짜 꿀밤때리고싶네요 																									
246,7,"제니퍼로렌스 하드캐리. 조이와 발암들.. 그 와중에도 힘이 되어준 전남편과 첫방때 전화 걸어준 친구, 홈쇼핑사장 닐이 있어서 정말 다행이었다. 																									"
247,10,콘서트 못갔는데 이거보니까 콘서트가고싶어졌음. 																									
248,1,what an awful film!! 																									
249,9,"피리 부는 사나이, 판옵티콘, 한국 샤머니즘까지 동서양 문화 융합과 한국 정치사의 연계가 인상 깊은 영화. 세월호 추모를 떠올리는 연출도 좋았고 나름 스토리라인 잘 짜인 탄탄한 영화라고 생각하는데 평이 낮은 게 아쉬움. 무당이 저주 내리는 씬은 아직도 생각하면 소름이 끼친다. 																									"
250,10,
251,10,유치원때 엄마가 이영화를 보여주면서 기도를 열심히 하면 엄마가 찾아올거라고 했어요. 네. 고아원 이였고 엄마가 아니라 보육사가 그렇게 말을 해줬고 그소리듣고 맨날 울다 잠들었엇어요. 22년동안 그말만 믿고 기도 정말 열심히 했는데 봉헌금 꼬박꼬박 내면서 기도 정말 열심히 했는데 아직도 없어 나만. 그래도 하나도 안슬퍼 우리집 강아지 유일한 내가족이 있으니까. 																									
252,10,
253,10,"변호사새끼 눈, 코, 입 전부다 밥맛 떨어지게 생겼다. 말할 때 입모양이랑 이빨생긴 모양까지도..캭 퉷! 																									"
254,10,응원합니다. 그저 현실을 제대로 보지 못하고 무작정 테러하는 당신들도 같은 사람입니다. 																									
255,1,고사1은 내용이 분명히 기억나는데 고사2는 스토리가 전혀 기억이 안나서 다시 찾아봤습니다. 왜 잊어버렸는지 알겠네요. 																									
256,1,예전에 보고 잊어버려서 다시 봤는데 왜 잊어버렸는지 알것같다....기억하기 싫었나보다... 																									
257,10,백번 봐야해....ㅠㅠㅠㅠ 																									
258,1,영화가 너무 정치색깔이 심각하고 너무 내용 개연성 등 전체적으로 너무 짜임새가 없어으며 정우성 다시 영화 찍으려면 연기 다시 배워야 할 듯 ... 																									
259,2,이거 별점 왜이런거져? 아무리 헨리팬이라도 그러면 안돼죠!  쓰레기 영화를 갇다가 놓고 별점 10을 주네~ 중국사람인가? 최근에 본것중 최하  입니다.  이건 너무하잔아야 cg빼랑 핸리 빼면 아무것도 없네. 																									
260,10,
261,4,또 너무 정치색이.보이는 영화라서 이번정권의 치졸함을 다시볼수있었음. 																									
262,10,와진짜 재밌어요 스토리도 재밌고 연기도 짱이고 짱짱짱 																									
263,10,
264,10,
265,7,"뭔가 삶을 잔잔히 풀어내는 느낌인데, 그 내용을 풀어내기엔 런닝타임이 짧은 느낌이고 너무 동화같이 풀다보니 아쉽네요. 그러나 영상미 만으로도 볼만하다고 생각합니다 																									"
266,6,안보는걸  추천... 구해줘 외국인 영화버전.. 보고나서 악몽꿈.. 꿈자리사나워짐 																									
267,1,광수 엉덩이 같은 미적지근한 영화. . .야하지도 폭력적이지도 스토리가 뛰어나지도 않은 영화...만화만큼만 하지.. 																									
268,8,작년에 봤었는데 초중반에 너무 재미없어서 인생최초로 영화 보다가 나갈뻔했음. 진짜 개망작이라고 생각했는데 갑자기 후반부로 가면서 개꿀잼 되서 보다가 엄청 웃었다. 																									
269,8,사는게 다르지 않다. 다들. 																									
270,8,아들래미 말  드럽게 안듣냐 ~ 																									
271,5,긴장감도없고 재미없습니다 그냥 아무생각없이 보면 되는 영화 																									
272,10,
273,1,"와...이건 뭐 영화를 보는게 아니라 서프라이즈 재연 방송 보는 줄이요..미국 대통령 역은 어디서 3류 엑스트라급 배우를 데려와서 같지도 않은 트럼프 흉내를 내질 않나, 장르는 코메디도 아니고 액션도 아닌 재미도 감동도 1도 없는 이른바 노근본 부대찌개 였음..대본은 누가 쓴건지 정말 오글 거리는 멘트들을 배우들이 꾸역꾸역 소화 하려하니 너무 어색했고 대본 때문에 배우들의 가치가 바닥뚫고 지구 핵까지 추락해버린 개차반 영화였음.. 																									"
274,10,집중 진짜 잘되고 재밌습니다.남녀가 함께 나오는 장면은 빼도 됬을것 같은데 조금 아쉽네요. 																									
275,2,쓰레기 영화돈 아깝고명품배우 아깝다 																									
276,9,"다들 재미없었다고들 하시는데...저는 정말 재미있었고 감동적이어서 끝부분에서는 눈물도 흘렸어요. 뭐 제가 대단한 안목을 가진 사람은 아니라서 다른 분들은 아닐 수도 있지만, 배우들에 연기에 대한것들은  오직 제 기준에서는 매우 휼륭했다고 생각해요(저에게 그 인물들이 느끼는 거의 모든 감정들이 다 전달되었어요) 물론, 제가 아직 나이가 많지는 않아서 판단능력도 그리 높지 못하고 객관적인 시각은 가지지 못한것도 있어서 제 생각이 틀렸다는 분들도 있을것 같지만 제 개인적으로는 시간과 돈을 들여서 볼만한 영화라고 느꼈습니다. 																									"
277,10,대박 !! 징쨔 재밌었어요ㅎㅎ 																									
278,10,신문기자의 심은경과 바닷마을 다이어리의 카호의 듀엣 썸머투어 																									
279,10,ㅈ론가들 또 뭐라도되는것마냥 개소리를 가오잡고갈겨놧네 ㅋㅌㅌㅌ 니네들이영화만들어보세요 5점 6점 ㅅㅂ ㅋ 																									
280,10,아 초중반만 견디면 꿀잼보장!! 																									
281,8,im in love♥♥♥♥ 																									
282,1,정말 해도 해도 너무 한거 아닙니까?한국영화가 어찌 이정도로 망가졌나요. 제 기준클라멘타인과 동급입니다.허술한 스토리와 그 촌티 날리는 대사 하며사람 정말 미치게 만드는 영화 였습니다. 																									
283,10,아구몬이 타이치한테 많이컸네 하는게 나한테도 하는말같아서...영원히 함께라고하는게 나한테도 하는말같아서....결국 울음터트림...ㅠㅠㅠㅠ 																									
284,8,노래는 좋으나 왜이렇게 짜증이 나는 영화죠..남주가 별로여서 그런가.. 비쥬얼도 그렇고 넘 답답.. 노래 끊는 아버지도 유머라기보단 짜증나고.. 끝까지 본 제가 대단하네요.. 비틀즈 노래가 좋아서 그나마 본 듯해요. 																									
285,5,현실감없는내용과 연기력은 좋지만 미스캐스팅이 보는내내 몰입감을 방해한다.그나마 잠수함에 대한 디테일과 전투신이 선방을 해준 영화 																									
286,10,영화 본지2주 정도 지나가도 이정재배우의 연기와 대사가 게속 생각남 																									
287,10,"2,30대 남성이 노인 성폭행 제일 많이하는데 그들이 별점테러하니 원ㅋㅋㅋ 양심 찔렸나보네 																									"
288,6,
289,10,Good!! Nice 																									
290,10,두 배우 캐미 오짐여 ㄹㅇ 꼭 보세요 존잼ㅋㄹㅋㄹ 																									
291,10,날 울렸어 그것도 펑펑 진짜 너무 슬프다 																									
292,8,내용은 결말 뻔한 액션그치만 이것은 박정민을 위한 영화난 박정민 밖에 기억 안 남음 캬이 오빠 눈빛모야 ㅈ ㅗ ㅈ 가테~~~~= 																									
293,10,
294,10,늦게라도 빛을봤으면 하는영화설경구는 몇명을 연기한건지.. 정말 대배우 																									
295,10,인생영화 꼭 보세요 진짜 .. 하 일주일내내 못 빠져나오는중 ㅠ 																									
296,10,
297,8,불쌍한 모텔 사장님그냥 현금 결제 받으시지... 																									
298,1,-10점 드립니다. 조선시대였으면 능지처참감임. 																									
299,10,유덕화.오대유는 혼다 nsr250 전가락은 야마하 tzr250 나는 아프릴리아 rs250~ 남자 라이더 라면 2t로 한번 달려라~  2t만세~~~ 																									
